show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s48,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,4.47,,,2016,ALL,22 min,fitness\Special Interest,We take you through Buddhist mindful philosophy Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala.
s9597,Movie,Haikara-San: Here Comes Miss Modern Part 1,Kazuhiro Furuhashi,Asami Seto\Kazuya Nakai,2.95,,,2018,13+,97 min,Anime\Comedy\Drama,A 21-year-old guy has a night to remember when he babysits two boys and a wild eight-year-old girl.
s159,TV Show,Wallace & Gromit: The Complete Collection,,Peter Sallis,2.93,,,2008,TV-NR,1 Season,Animation\Comedy\Kids,Academy Award winning eccentric inventor Wallace and his faithful four-legged friend Gromit have specially re-mastered all four of their smashing half-hour specials.
s2616,TV Show,Down East Dickering,,,1.09,,,2015,TV-PG,2 Seasons,Documentary\Special Interest,Tyrone (Pastor Troy) is released from prison early and returns to his hood. While his girl Anetra (Malan Boykin) stayed true her brush with the King of Bankhead (Shawty Lo) threatens the couple's chance at rebuilding their lives.
s2303,Movie,Grace of God,Kevan Otto,John Ratzenberger\Lorenzo Lamas\Julia Parker,1.99,,,2015,16+,99 min,Drama\Faith and Spirituality\Kids,Bikram (Rwitobroto Mukherjee) a teenage boy spends his days mooning over his crush Tuki (Anusha Viswanathan) and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !
s477,Movie,The Program,Stephen Frears,Ben Foster\Chris O'Dowd\Jesse Plemons,1.99,,,2016,R,104 min,Drama\Sports,An Irish sports journalist becomes convinced that Lance Armstrong's performances during the Tour de France victories are fueled by banned substances. With this conviction he starts hunting for evidence that will expose Armstrong.
s1901,TV Show,Lano & Woodley: Fly,,Colin Lane\Frank Woodley,1.35,,,2020,16+,1 Season,Comedy\Talk Show and Variety,Australia’s favourite double act Colin Lane and Frank Woodley have reunited to create the comeback masterpiece FLY. No more stupid silly nonsense it’s time to make THEATRE! An epic show about the history of aviation no less. There is no reason whatsoever to think this will go as planned.
s1931,Movie,Knights of Badassdom,Joe Lynch,Ryan Kwanten\Peter Dinklage\Steve Zahn,3.16,United States,,2014,R,86 min,Action\Comedy\Fantasy,Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.
s9634,Movie,Pretty Woman (Plus Bonus Content),Garry Marshall,Richard Gere\Julia Roberts,4.04,,,1990,R,139 min,Comedy\Romance,What started with a routine divorce between Natalie Stein and her husband Tim will soon take a turn into the unexpected and evolve into scenes of torture bloodshed and slaughter.
s8702,TV Show,Do Re & Mi,,Jackie Tohn\Kristen Bell\Luke Youngblood,1.66,United States,17-Sep-21,2021,NR,2 Seasons,Animation\Anime\Kids,Barbie is a 24 year-old actress. Her life goes from one audition to another. She longs to live off her career and leave the jobs she takes to survive behind. Over time Barbie will discover how competitive it is to make it in this business no matter how much her friends try to show her otherwise. One day Barbie will be presented with the chance of a lead but ... to what cost?
